"user_id","n_passed_all","n_viewed_all","n_started_practical","n_passed_practical","n_submissions","submission_correct_rate","active_days","days_since_last_action","score_per_active_day","steps_per_active_day"
10001,1,6,2,1,6,0.55,3,9,0.18,0.33
10002,2,14,0,0,0,0,2,9,0,1
10003,1,15,1,0,3,0.5,3,4,0,0.33
10004,3,17,2,2,6,0.65,3,5,0.43,1
10005,1,3,0,0,0,0,3,7,0,0.33
10006,2,6,0,0,0,0,1,8,0,2
10007,1,12,1,0,2,0.76,3,5,0,0.33
10008,0,5,0,0,0,0,3,6,0,0
10009,0,6,0,0,0,0,1,7,0,0
10010,3,9,2,0,3,0.73,3,9,0,1
10011,2,10,1,0,3,0.67,2,9,0,1
10012,3,9,0,0,0,0,15,9,0,1
10013,2,16,2,1,6,0.75,2,7,0.38,1
10014,2,5,1,0,2,0.76,1,6,0,2
10015,1,8,0,0,0,0,1,4,0,1
10016,0,6,0,0,0,0,1,9,0,0
10017,2,4,0,0,0,0,3,7,0,0.67
10018,2,9,1,1,3,0.39,3,9,0.13,0.67
10019,0,4,2,0,0,0,1,4,0,0
10020,4,10,1,1,3,0.89,3,8,0.3,1.33
10021,12,30,3,2,3,0.45,3,8,0.3,4
10022,9,19,2,0,2,0.14,3,5,0,3
10023,4,17,2,2,5,0.93,4,4,0.47,1
10024,11,31,6,0,17,0.85,4,6,0,2.75
10025,5,18,2,1,2,0.1,2,4,0.05,2.5
10026,3,13,1,1,3,0.4,2,9,0.2,1.5
10027,10,18,4,3,2,0.75,4,4,0.56,2.5
10028,5,25,1,1,2,0.58,2,7,0.29,2.5
10029,5,10,3,1,6,0.81,2,9,0.41,2.5
10030,10,18,5,1,13,0.82,4,7,0.2,2.5
10031,7,23,6,5,11,0.21,2,7,0.52,3.5
10032,10,25,2,2,3,0.54,3,9,0.36,3.33
10033,8,16,4,1,10,0.27,5,7,0.05,1.6
10034,12,23,1,1,2,0.48,4,7,0.12,3
10035,10,27,5,3,5,0.41,5,9,0.25,2
10036,9,29,6,1,14,0.14,5,9,0.03,1.8
10037,2,14,5,1,8,1.5,2,4,0.44,1
10038,2,15,6,2,15,0.61,2,5,0.61,1
10039,2,9,5,2,14,0.87,3,7,0.58,0.67
10040,4,19,6,4,14,0.9,3,5,1.2,1.33
10041,35,65,10,1,15,0.15,4,5,0.04,8.75
10042,23,37,8,1,15,0.51,7,5,0.07,3.29
10043,10,20,5,4,2,0.28,6,6,0.19,1.67
10044,16,41,4,2,8,0.66,6,6,0.22,2.67
10045,23,36,18,0,24,0.76,7,3,0,3.29
10046,31,50,18,11,14,0.31,6,5,0.57,5.17
10047,20,42,18,8,36,0.5,7,5,0.57,2.86
10048,27,38,9,3,12,0.26,6,4,0.13,4.5
10049,15,28,5,4,14,0.63,4,3,0.63,3.75
10050,31,54,11,3,20,0.42,4,4,0.32,7.75
10051,27,55,16,13,27,0.46,6,2,1,4.5
10052,15,37,6,4,8,0.65,5,2,0.52,3
10053,10,25,18,0,39,0.3,6,6,0,1.67
10054,27,52,5,2,8,0.83,5,4,0.33,5.4
10055,11,26,10,7,13,0.6,5,2,0.84,2.2
10056,14,25,11,1,30,0.38,5,3,0.08,2.8
10057,24,44,14,8,15,0.27,6,6,0.36,4
10058,11,24,8,6,21,0.61,7,6,0.52,1.57
10059,21,32,15,7,38,0.61,4,4,1.07,5.25
10060,32,59,9,9,1,0.33,5,5,0.59,6.4
10061,58,84,26,14,23,0.21,9,3,0.33,6.44
10062,71,100,34,3,31,0.41,6,1,0.2,11.83
10063,63,91,28,27,34,0.32,7,1,1.23,9
10064,32,57,33,8,80,0.9,8,2,0.9,4
10065,45,76,23,23,27,0.52,8,3,1.5,5.62
10066,64,97,15,8,15,0.65,9,2,0.58,7.11
10067,73,110,29,25,38,0.56,7,2,2,10.43
10068,67,103,24,21,35,0.58,9,0,1.35,7.44
10069,49,84,27,5,9,0.91,8,2,0.57,6.12
10070,65,94,23,5,8,0.44,7,2,0.31,9.29
10071,35,74,28,13,37,0.77,6,3,1.67,5.83
10072,30,65,34,10,80,0.65,9,1,0.72,3.33
10073,35,66,20,17,6,0.74,8,3,1.57,4.38
10074,46,75,35,7,77,0.29,6,1,0.34,7.67
10075,44,74,35,22,33,0.49,7,2,1.54,6.29
10076,67,84,27,0,23,0.54,7,2,0,9.57
10077,70,95,33,16,4,0.6,9,0,1.07,7.78
10078,44,61,24,1,67,0.66,6,0,0.11,7.33
10079,53,76,18,16,3,0.58,9,1,1.03,5.89
10080,47,72,23,10,23,0.46,6,2,0.77,7.83
10081,76,115,1,2,89,0.93,9,0,2.07,8.44
10082,137,185,47,29,30,0.43,9,2,1.39,15.22
10083,148,170,57,36,50,0.57,8,2,2.56,18.5
10084,95,132,54,52,71,0.19,9,3,1.1,10.56
10085,118,166,50,17,72,0.13,10,1,0.22,11.8
10086,111,136,50,18,111,0.94,8,0,2.11,13.88
10087,142,168,49,47,17,0.15,9,0,0.78,15.78
10088,109,158,60,18,140,0.83,10,2,1.49,10.9
10089,77,118,31,30,40,0.63,8,3,2.36,9.62
10090,116,144,52,17,109,0.15,9,3,0.28,12.89
10091,77,104,53,40,83,0.35,9,3,1.56,8.56
10092,140,172,33,25,41,0.35,9,1,0.97,15.56
10093,150,172,32,16,40,0.78,9,3,1.39,16.67
10094,104,141,57,57,81,0.76,9,3,4.81,11.56
10095,93,124,59,20,132,0.61,8,2,1.52,11.62
10096,138,166,35,34,43,0.53,10,0,1.8,13.8
10097,121,142,33,22,65,0.7,10,2,1.54,12.1
10098,99,124,39,30,46,0.73,10,1,2.19,9.9
10099,82,124,55,23,71,0.94,10,1,2.16,8.2
10100,101,127,54,31,98,0.1,10,3,0.31,10.1
